58:0.0833333;87.990000,45.460000,0.000000;88.090000,45.460000,0.000000;
59:0.458333;88.090000,45.460000,0.000000;88.640000,45.460000,0.000000;
60:0.458333;88.640000,45.460000,0.000000;89.190000,45.460000,0.000000;
61:0.25;89.190000,45.460000,0.000000;89.490000,45.460000,0.000000;
62:0.458333;89.490000,45.460000,0.000000;90.040000,45.460000,0.000000;
63:0.416667;90.040000,45.460000,0.000000;90.540000,45.460000,0.000000;
64:0.125;90.540000,45.460000,0.000000;90.690000,45.460000,0.000000;
65:0.458333;90.690000,45.460000,0.000000;91.240000,45.460000,0.000000;
66:0.133333;91.240000,45.460000,0.000000;91.400000,45.460000,0.000000;
67:0.283333;91.400000,45.460000,0.000000;91.740000,45.460000,0.000000;
68:0.434167;92.949000,45.460000,0.000000;93.470000,45.460000,0.000000;
69:0.440833;93.470000,45.460000,0.000000;93.999000,45.460000,0.000000;
70:0.125;93.999000,45.460000,0.000000;94.149000,45.460000,0.000000;
71:0.434167;94.149000,45.460000,0.000000;94.670000,45.460000,0.000000;
72:0.440833;94.670000,45.460000,0.000000;95.199000,45.460000,0.000000;
73:0.25;95.199000,45.460000,0.000000;95.499000,45.460000,0.000000;
74:0.458333;95.499000,45.460000,0.000000;96.049000,45.460000,0.000000;
75:0.416667;96.049000,45.460000,0.000000;96.549000,45.460000,0.000000;
76:0.125;96.549000,45.460000,0.000000;96.699000,45.460000,0.000000;
77:0.333333;96.699000,45.460000,0.000000;97.099000,45.460000,0.000000;
78:0.125;97.099000,45.460000,0.000000;97.249000,45.460000,0.000000;
79:0.291667;97.249000,45.460000,0.000000;97.599000,45.460000,0.000000;
80:0.125;97.599000,45.460000,0.000000;97.749000,45.460000,0.000000;
81:0.333333;97.749000,45.460000,0.000000;98.149000,45.460000,0.000000;
82:0.125;98.149000,45.460000,0.000000;98.299000,45.460000,0.000000;
83:0.333333;98.299000,45.460000,0.000000;98.699000,45.460000,0.000000;
84:0.0833333;98.699000,45.460000,0.000000;98.799000,45.460000,0.000000;
85:0.458333;98.799000,45.460000,0.000000;99.349000,45.460000,0.000000;
86:0.458333;99.349000,45.460000,0.000000;99.899000,45.460000,0.000000;
87:0.166667;99.899000,45.460000,0.000000;100.099000,45.460000,0.000000;
88:0.416667;100.099000,45.460000,0.000000;100.599000,45.460000,0.000000;
89:0.334167;100.599000,45.460000,0.000000;101.000000,45.460000,0.000000;
90:0.334167;101.000000,45.460000,3.141593;100.599000,45.460000,3.141593;
91:0.416667;100.599000,45.460000,3.141593;100.099000,45.460000,3.141593;
92:0.0825;101.000000,45.460000,0.000000;101.099000,45.460000,0.000000;
93:0.166667;101.099000,45.460000,0.000000;101.299000,45.460000,0.000000;
94:0.291667;101.299000,45.460000,0.000000;101.649000,45.460000,0.000000;
95:0.0758333;101.649000,45.460000,0.000000;101.740000,45.460000,0.000000;
96:0.0758333;101.740000,45.460000,3.141593;101.649000,45.460000,3.141593;
97:0.0491667;101.740000,45.460000,0.000000;101.799000,45.460000,0.000000;
98:0.291667;101.799000,45.460000,0.000000;102.149000,45.460000,0.000000;
99:0.0425;102.149000,45.460000,0.000000;102.200000,45.460000,0.000000;
